"A.TWEX.FFNOSH.","B.ABI.FFNOSH.","H.HB.FFNOSH.","F.RCD.FFNOSH.","I.CPR.FFNOSH.","DGE.FFNOSH.","K.BBCA.FFNOSH.","K.CHRE.FFNOSH.","DK.CAB.FFNOSH.","DK.RBR.FFNOSH.","CN.KCM.FFNOSH.","CN.YWU.FFNOSH.","CN.JYB.FFNOSH.","CN.TTB.FFNOSH.","IN.MLC.FFNOSH.","IN.UBB.FFNOSH.","MX.BEC.FFNOSH.","BR.AVS.FFNOSH.","CL.CVZ.FFNOSH.","U.STZ.FFNOSH.","U.BF.B.FFNOSH.","U.TAP.FFNOSH.","U.SAM.FFNOSH.","U.MGM.FFNOSH.","U.LVS.FFNOSH.","X.WYNN.FFNOSH.","X.BJK.FFNOSH.","X.GDEN.FFNOSH.","U.BYD.FFNOSH.","U.BALY.FFNOSH.","X.RRR.FFNOSH.","X.IMBBY.FFNOSH.","D.2TP.FFNOSH.","BATS.FFNOSH.","ID.GUD.FFNOSH.","U.VGR.FFNOSH.","U.TPB.FFNOSH.","U.RLX.FFNOSH.","U.PM.FFNOSH.","A.ASBX.FFNOSH.","D.RHM.FFNOSH.","I.LDO.FFNOSH.","F.CSF.FFNOSH.","BA..FFNOSH.","RR..FFNOSH.","TK.AES.FFNOSH.","IS.ESLT.FFNOSH.","U.NOC.FFNOSH.","U.RTX.FFNOSH.","U.HII.FFNOSH.","U.LMT.FFNOSH.","X.AXON.FFNOSH.","X.MANT.FFNOSH.","U.BWXT.FFNOSH.","U.CW.FFNOSH.","X.SWBI.FFNOSH.","U.GD.FFNOSH.","U.RGR.FFNOSH.","X.POWW.FFNOSH.","U.CACI.FFNOSH.","X.HON.FFNOSH."
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
656205,814809,215771,182070,569184,2368778,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,141380,7715,363054,400947,66970,659,10915,76569,0,0,958711,10549,1731330,470499,103673,0,0,1381028,265416,43559,390558,103537,2816292,1637289,0,23150,181303,887021,40887,278991,41088,20746,91952,37719,51350,258327,14654,101,18237,770691
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
641554,814809,215771,182070,569184,2369178,0,1170074,97975,45184,477426,1667595,523282,290781,65715,112822,0,4454435,27674,165948,292048,168697,7715,363054,400903,66871,609,10915,76569,0,38951,958711,10549,1731333,470499,103673,0,0,1381033,236883,43559,390558,103643,2816628,1547815,0,23150,180943,836432,40887,277183,41088,20746,90262,36527,51900,253361,14654,101,18237,769323
